"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","MTP","HIGHSD","OUTLIERRG"
"784_WC","33.3059692382812","2.27547192573547","82.5350799560547","68.7932510375977","81.1059341430664","91.0000534057617","65","10","0.5","Lutjanidae1","4.4","control_sentino","E3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","51","FALSE","Target 1","UNKNOWN","SYBR","None","31.8509769439697","2.23011994361877","","","","","","","","TRUE","0.135016590886038","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.983768072409068","Y","Y","N"
"785","31.8842124938965","2.41520190238953","83.02978515625","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","52","FALSE","Target 1","UNKNOWN","SYBR","None","29.6603183746338","1.95088756084442","","","","","","","","TRUE","0.135016590886038","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.984781768421855","N","Y","N"
"785","28.2374362945557","2.36975765228271","83.2300262451172","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","53","FALSE","Target 1","UNKNOWN","SYBR","None","29.6603183746338","1.95088756084442","","","","","","","","TRUE","0.135016590886038","TRUE","3","24","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.962644677114394","N","Y","N"
"785","28.859302520752","2.35000658035278","83.1751174926758","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","54","FALSE","Target 1","UNKNOWN","SYBR","None","29.6603183746338","1.95088756084442","","","","","","","","TRUE","0.135016590886038","TRUE","3","24","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.965191630354519","N","Y","N"
"786","38.0524597167969","1.77498686313629","81.4850158691406","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","55","FALSE","Target 1","UNKNOWN","SYBR","None","39.3375358581543","2.29115891456604","","","","","","","","TRUE","0.135016590886038","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.967011591180911","N","Y","N"
"786","37.9773597717285","1.74672114849091","82.5290908813477","66.8679504394531","70.1100769042969","68.7912445068359","65","10","0.5","Lutjanidae1","4.4","sentino","E8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","56","FALSE","Target 1","UNKNOWN","SYBR","None","39.3375358581543","2.29115891456604","","","","","","","","TRUE","0.135016590886038","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.96301943211732","Y","Y","N"
"786","41.982780456543","1.45295965671539","81.4472579956055","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","57","FALSE","Target 1","UNKNOWN","SYBR","None","39.3375358581543","2.29115891456604","","","","","","","","TRUE","0.135016590886038","TRUE","3","37","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.95557187648046","N","Y","Y"
"787","38.0529556274414","2.08430314064026","81.9973602294922","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","58","FALSE","Target 1","UNKNOWN","SYBR","None","35.2243766784668","2.87722015380859","","","","","","","","TRUE","0.135016590886038","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.957552490684803","N","Y","N"
"787","32.3008651733398","2.16623711585999","82.8333587646484","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","59","FALSE","Target 1","UNKNOWN","SYBR","None","35.2243766784668","2.87722015380859","","","","","","","","TRUE","0.135016590886038","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.969899667377896","N","Y","N"
"787","35.3193168640137","2.21206164360046","82.7236175537109","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","60","FALSE","Target 1","UNKNOWN","SYBR","None","35.2243766784668","2.87722015380859","","","","","","","","TRUE","0.135016590886038","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.948485080970792","N","Y","N"
