"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","MTP","NOAMP","OUTLIERRG"
"767","49.8481788635254","0.171915471553802","80.3713455200195","","","","55","10","0.5","16S","4.4","sentino","B12","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","24","FALSE","Target 1","UNKNOWN","SYBR","None","43.7636413574219","5.27114677429199","","","","","","","","TRUE","0.164306873824341","TRUE","3","43","Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","N","Y","N","N","Y"
"768_WC","Undetermined","-0.00820695143193007","55.8754615783691","","","","55","10","0.5","16S","4.4","control_sentino","C1","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","25","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"768_WC","Undetermined","-0.00275014759972692","55.0004005432129","","","","55","10","0.5","16S","4.4","control_sentino","C2","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","26","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"768_WC","Undetermined","0.000300221989164129","57.0244178771973","","","","55","10","0.5","16S","4.4","control_sentino","C3","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","27","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","Y","N"
"769","43.723705291748","1.0793821811676","82.4054718017578","","","","55","10","0.5","16S","4.4","sentino","C4","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","28","FALSE","Target 1","UNKNOWN","SYBR","None","43.8219718933105","0.788804411888123","","","","","","","","TRUE","0.164306873824341","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.969355918585442","N","N","Y","N","N","N"
"769","43.0868988037109","1.25680410861969","82.5037460327148","","","","55","10","0.5","16S","4.4","sentino","C5","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","29","FALSE","Target 1","UNKNOWN","SYBR","None","43.8219718933105","0.788804411888123","","","","","","","","TRUE","0.164306873824341","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.956369912408968","N","N","Y","N","N","N"
"769","44.6553001403809","0.962126076221466","82.4490661621094","","","","55","10","0.5","16S","4.4","sentino","C6","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","30","FALSE","Target 1","UNKNOWN","SYBR","None","43.8219718933105","0.788804411888123","","","","","","","","TRUE","0.164306873824341","TRUE","3","38","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.935135668331412","N","N","Y","N","N","N"
"770","42.0933151245117","1.44937682151794","84.4195327758789","","","","55","10","0.5","16S","4.4","sentino","C7","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","31","FALSE","Target 1","UNKNOWN","SYBR","None","40.8272590637207","1.21752035617828","","","","","","","","TRUE","0.164306873824341","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.982439958307704","N","N","Y","N","N","N"
"770","40.7235450744629","1.82274913787842","84.4195327758789","","","","55","10","0.5","16S","4.4","sentino","C8","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","32","FALSE","Target 1","UNKNOWN","SYBR","None","40.8272590637207","1.21752035617828","","","","","","","","TRUE","0.164306873824341","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.98276294337654","N","N","Y","N","N","N"
"770","39.664909362793","1.93270170688629","82.7913360595703","","","","55","10","0.5","16S","4.4","sentino","C9","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","33","FALSE","Target 1","UNKNOWN","SYBR","None","40.8272590637207","1.21752035617828","","","","","","","","TRUE","0.164306873824341","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.977795104937062","N","N","Y","N","N","N"
"771","39.6846656799316","1.66809403896332","83.6666412353516","","","","55","10","0.5","16S","4.4","sentino","C10","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","34","FALSE","Target 1","UNKNOWN","SYBR","None","38.7757377624512","0.842442154884338","","","","","","","","TRUE","0.164306873824341","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.969076391137721","N","N","Y","N","N","N"
"771","38.0211143493652","1.72536826133728","84.0269165039062","","","","55","10","0.5","16S","4.4","sentino","C11","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","35","FALSE","Target 1","UNKNOWN","SYBR","None","38.7757377624512","0.842442154884338","","","","","","","","TRUE","0.164306873824341","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.971074389280997","N","N","Y","N","N","N"
"771","38.6214294433594","1.5391731262207","83.4813079833984","","","","55","10","0.5","16S","4.4","sentino","C12","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","36","FALSE","Target 1","UNKNOWN","SYBR","None","38.7757377624512","0.842442154884338","","","","","","","","TRUE","0.164306873824341","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.980864445633337","N","N","Y","N","N","N"
"772_WC","46.0041694641113","0.800170302391052","81.088249206543","62.4931373596191","","","55","10","0.5","16S","4.4","control_sentino","D1","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","37","FALSE","Target 1","UNKNOWN","SYBR","None","43.2789306640625","3.85406970977783","","","","","","","","TRUE","0.164306873824341","TRUE","3","41","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.870753676616071","N","N","Y","Y","N","N"
"772_WC","Undetermined","0.0236234180629253","55.1097831726074","","","","55","10","0.5","16S","4.4","control_sentino","D2","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","38","FALSE","Target 1","UNKNOWN","SYBR","None","43.2789306640625","3.85406970977783","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"772_WC","40.5536918640137","1.78864896297455","58.7748374938965","65.9953079223633","70.2072525024414","60.4158515930176","55","10","0.5","16S","4.4","control_sentino","D3","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","39","FALSE","Target 1","UNKNOWN","SYBR","None","43.2789306640625","3.85406970977783","","","","","","","","TRUE","0.164306873824341","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.9784829686457","N","N","Y","Y","N","N"
"781","Undetermined","-0.00513060158118606","56.4227142333984","","","","55","10","0.5","16S","4.4","sentino","D4","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","40","FALSE","Target 1","UNKNOWN","SYBR","None","40.8036880493164","2.07320404052734","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
