"filename_fullpath","Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","OUTLIERRG","MTP","PRFDROP","NOAMP","DRNMIN"
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","679",41.0216941833496,1.74931454658508,83.764518737793,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B9","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",21,FALSE,"Target 1","UNKNOWN","SYBR","None",42.9672546386719,3.65557909011841,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,36,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.928248235496341,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","680_WC",0,0.138005986809731,55.7710571289062,NA,NA,NA,55,10,0.5,"16S",4.4,"control_sentino","B10","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",22,FALSE,"Target 1","UNKNOWN","SYBR","None",44.2526321411133,1.48399257659912,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,5,"No Amp","55, 10, 0.5, 16S, 4.4, control_sentino",0,"Y","N","N","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","680_WC",45.3019714355469,0.935316681861877,65.9191513061523,93.408821105957,87.2085571289062,55.6585350036621,55,10,0.5,"16S",4.4,"control_sentino","B11","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",23,FALSE,"Target 1","UNKNOWN","SYBR","None",44.2526321411133,1.48399257659912,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,39,"Amp","55, 10, 0.5, 16S, 4.4, control_sentino",0.819476274961358,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","680_WC",43.2032890319824,1.62132620811462,79.8560256958008,77.8807220458984,73.0522003173828,71.3512420654297,55,10,0.5,"16S",4.4,"control_sentino","B12","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",24,FALSE,"Target 1","UNKNOWN","SYBR","None",44.2526321411133,1.48399257659912,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,38,"Amp","55, 10, 0.5, 16S, 4.4, control_sentino",0.839446252215579,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","682",44.2650871276855,1.18462765216827,83.7102127075195,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C1","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",25,FALSE,"Target 1","UNKNOWN","SYBR","None",42.9354591369629,2.30449867248535,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,39,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.901773248002648,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","682",40.2744522094727,1.89784872531891,84.3676910400391,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C2","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",26,FALSE,"Target 1","UNKNOWN","SYBR","None",42.9354591369629,2.30449867248535,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,36,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.957248097401433,"N","N","Y","Y","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","682",44.2668342590332,1.03921437263489,83.8037567138672,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C3","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",27,FALSE,"Target 1","UNKNOWN","SYBR","None",42.9354591369629,2.30449867248535,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,38,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.9056831466986,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","683",43.1421051025391,1.51598083972931,79.626220703125,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C4","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",28,FALSE,"Target 1","UNKNOWN","SYBR","None",43.1421051025391,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,38,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.945785701789944,"N","N","N","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","683",0,0.000322580337524414,55.7693939208984,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C5","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",29,FALSE,"Target 1","UNKNOWN","SYBR","None",43.1421051025391,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,10,"No Amp","55, 10, 0.5, 16S, 4.4, sentino",0,"Y","N","N","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","683",0,-0.0387596972286701,55.0004997253418,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C6","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",30,FALSE,"Target 1","UNKNOWN","SYBR","None",43.1421051025391,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,28,"No Amp","55, 10, 0.5, 16S, 4.4, sentino",0,"Y","N","N","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","684",44.9193458557129,0.816493928432465,84.119384765625,79.669059753418,NA,NA,55,10,0.5,"16S",4.4,"sentino","C7","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",31,FALSE,"Target 1","UNKNOWN","SYBR","None",42.6483955383301,2.21126914024353,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,39,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.954354194155477,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","684",42.5237655639648,1.3386857509613,84.3940887451172,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C8","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",32,FALSE,"Target 1","UNKNOWN","SYBR","None",42.6483955383301,2.21126914024353,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,37,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.946051836327563,"N","N","Y","N","N",NA,NA,NA
